question,raw_answer,answer,short_answer,formated_answer
"Dr. Wertz'in okulunda kız öğrencilerin sayısının iki katı kadar erkek öğrenci vardır. Eğer 60 kız öğrenci varsa ve her öğretmene düşen öğrenci sayısı 5 ise, okulda kaç öğretmen vardır?","Dr. Wertz'in okulunda kız öğrencilerin sayısı 60 olduğuna göre, erkek öğrenci sayısı bu sayının iki katıdır, yani 2*60 = 120 erkek öğrenci vardır. Toplam öğrenci sayısı kız ve erkek öğrencilerin toplamıdır, bu da 120 + 60 = 180 öğrenci demektir. Her öğretmene düşen öğrenci sayısı 5 olduğuna göre, 180 öğrenci için 180/5 = 36 öğretmene ihtiyaç vardır. Dolayısıyla okulda 36 öğretmen bulunmaktadır. #### 36","Dr. Wertz'in okulunda kız öğrencilerin sayısı 60 olduğuna göre, erkek öğrenci sayısı bu sayının iki katıdır, yani 2*60 = 120 erkek öğrenci vardır. Toplam öğrenci sayısı kız ve erkek öğrencilerin toplamıdır, bu da 120 + 60 = 180 öğrenci demektir. Her öğretmene düşen öğrenci sayısı 5 olduğuna göre, 180 öğrenci için 180/5 = 36 öğretmene ihtiyaç vardır. Dolayısıyla okulda 36 öğretmen bulunmaktadır.",36,"{'answer': ""Dr. Wertz'in okulunda kız öğrencilerin sayısı 60 olduğuna göre, erkek öğrenci sayısı bu sayının iki katıdır, yani 2*60 = 120 erkek öğrenci vardır. Toplam öğrenci sayısı kız ve erkek öğrencilerin toplamıdır, bu da 120 + 60 = 180 öğrenci demektir. Her öğretmene düşen öğrenci sayısı 5 olduğuna göre, 180 öğrenci için 180/5 = 36 öğretmene ihtiyaç vardır. Dolayısıyla okulda 36 öğretmen bulunmaktadır."", 'short_answer': '36'}"
"Jennie annesinin ofisinde yardım ediyor. Damgalanması gereken 60 mektupluk bir yığını ve zaten damgalanmış mektupların bir yığını var. Damgalanması gereken mektupların üçte birine pul yapıştırıyor. Şimdi damgalanmış mektup yığınında 30 mektup varsa, Jennie başladığında bu yığında kaç mektup vardı?","Jennie 60 mektubun üçte birine, yani 60/3=20 mektuba pul yapıştırıyor. Eğer şu anda damgalanmış mektup yığınında 30 mektup varsa ve Jennie 20 tanesini yeni damgaladıysa, başlangıçta damgalanmış mektup yığınında 30-20=10 mektup vardı. 

#### 10","Jennie 60 mektubun üçte birine, yani 60/3=20 mektuba pul yapıştırıyor. Eğer şu anda damgalanmış mektup yığınında 30 mektup varsa ve Jennie 20 tanesini yeni damgaladıysa, başlangıçta damgalanmış mektup yığınında 30-20=10 mektup vardı.",10,"{'answer': 'Jennie 60 mektubun üçte birine, yani 60/3=20 mektuba pul yapıştırıyor. Eğer şu anda damgalanmış mektup yığınında 30 mektup varsa ve Jennie 20 tanesini yeni damgaladıysa, başlangıçta damgalanmış mektup yığınında 30-20=10 mektup vardı.', 'short_answer': '10'}"
"Ronnie'ye 5 dolar verilirken Rissa'ya üç katı kadar verildi. Her biri küçük kız kardeşlerine eşit miktarda para verdikten sonra, Rissa'nın parasının 4/5'i kalmıştır. Ronnie'nin parasında ne kadar kalmıştır?","Rissa'ya 5 doların 3 katı kadar, yani $5 x 3 = $15 verildi. Rissa küçük kız kardeşine bir miktar para verdikten sonra, parasının 4/5'i, yani $15 x 4/5 = $12'si kalmıştır. Bu, Rissa'nın kız kardeşine $15 - $12 = $3 verdiği anlamına gelir. Ronnie de Rissa ile aynı miktarda, yani $3 verdiğinden, Ronnie'nin elinde $5 - $3 = $2 kalmıştır.
#### 2","Rissa'ya 5 doların 3 katı kadar, yani $5 x 3 = $15 verildi. Rissa küçük kız kardeşine bir miktar para verdikten sonra, parasının 4/5'i, yani $15 x 4/5 = $12'si kalmıştır. Bu, Rissa'nın kız kardeşine $15 - $12 = $3 verdiği anlamına gelir. Ronnie de Rissa ile aynı miktarda, yani $3 verdiğinden, Ronnie'nin elinde $5 - $3 = $2 kalmıştır.",2,"{'answer': ""Rissa'ya 5 doların 3 katı kadar, yani $5 x 3 = $15 verildi. Rissa küçük kız kardeşine bir miktar para verdikten sonra, parasının 4/5'i, yani $15 x 4/5 = $12'si kalmıştır. Bu, Rissa'nın kız kardeşine $15 - $12 = $3 verdiği anlamına gelir. Ronnie de Rissa ile aynı miktarda, yani $3 verdiğinden, Ronnie'nin elinde $5 - $3 = $2 kalmıştır."", 'short_answer': '2'}"
"Theo'nun yaklaşan Güney Afrika iş gezisi için harcamak istediği 6000 doları var. Her biri 100 dolardan 6 iş takımı, her biri 50 dolardan 3 bavul alıyor, bir iş takımının maliyetinin 5 katından 700 dolar daha pahalı bir uçak bileti alıyor. Bu gezisi için 2000 dolar biriktirmek istiyor, Güney Afrika'daki iş ortaklarına hediye almak için ne kadar harcaması gerekiyor?","Theo 6 iş takımı için 6 takım * 100 dolar/takım = 600 dolar harcıyor.
Theo 3 bavul için 3 bavul * 50 dolar/bavul = 150 dolar harcıyor.
Theo, bir iş takımının maliyetinin 5 katı artı 700 dolar olan bir uçak bileti için 700 dolar + 5 * 100 dolar = 1200 dolar harcıyor.
Theo, Güney Afrika'daki iş ortaklarına hediye almak için 6000 dolar - 600 dolar - 150 dolar - 1200 dolar - 2000 dolar = 2050 dolar harcayabilir.
#### 2050","Theo 6 iş takımı için 6 takım * 100 dolar/takım = 600 dolar harcıyor.
Theo 3 bavul için 3 bavul * 50 dolar/bavul = 150 dolar harcıyor.
Theo, bir iş takımının maliyetinin 5 katı artı 700 dolar olan bir uçak bileti için 700 dolar + 5 * 100 dolar = 1200 dolar harcıyor.
Theo, Güney Afrika'daki iş ortaklarına hediye almak için 6000 dolar - 600 dolar - 150 dolar - 1200 dolar - 2000 dolar = 2050 dolar harcayabilir.",2050,"{'answer': ""Theo 6 iş takımı için 6 takım * 100 dolar/takım = 600 dolar harcıyor.\nTheo 3 bavul için 3 bavul * 50 dolar/bavul = 150 dolar harcıyor.\nTheo, bir iş takımının maliyetinin 5 katı artı 700 dolar olan bir uçak bileti için 700 dolar + 5 * 100 dolar = 1200 dolar harcıyor.\nTheo, Güney Afrika'daki iş ortaklarına hediye almak için 6000 dolar - 600 dolar - 150 dolar - 1200 dolar - 2000 dolar = 2050 dolar harcayabilir."", 'short_answer': '2050'}"
"Ronnie'ye 5 dolar verilirken Rissa'ya üç katı kadar verildi. Her biri küçük kız kardeşlerine eşit miktarda para verdikten sonra, Rissa'nın parasının 4/5'i kalmıştır. Ronnie'nin parasında ne kadar kalmıştır?","Rissa'ya 5 doların 3 katı kadar, yani $5 x 3 = $15 verildi. Rissa küçük kız kardeşine bir miktar para verdikten sonra, parasının 4/5'i, yani $15 x 4/5 = $12'si kalmıştır. Bu, Rissa'nın kız kardeşine $15 - $12 = $3 verdiği anlamına gelir. Ronnie de Rissa ile aynı miktarda, yani $3 verdiğinden, Ronnie'nin elinde $5 - $3 = $2 kalmıştır.
#### 2","Rissa'ya 5 doların 3 katı kadar, yani $5 x 3 = $15 verildi. Rissa küçük kız kardeşine bir miktar para verdikten sonra, parasının 4/5'i, yani $15 x 4/5 = $12'si kalmıştır. Bu, Rissa'nın kız kardeşine $15 - $12 = $3 verdiği anlamına gelir. Ronnie de Rissa ile aynı miktarda, yani $3 verdiğinden, Ronnie'nin elinde $5 - $3 = $2 kalmıştır.",2,"{'answer': ""Rissa'ya 5 doların 3 katı kadar, yani $5 x 3 = $15 verildi. Rissa küçük kız kardeşine bir miktar para verdikten sonra, parasının 4/5'i, yani $15 x 4/5 = $12'si kalmıştır. Bu, Rissa'nın kız kardeşine $15 - $12 = $3 verdiği anlamına gelir. Ronnie de Rissa ile aynı miktarda, yani $3 verdiğinden, Ronnie'nin elinde $5 - $3 = $2 kalmıştır."", 'short_answer': '2'}"
"Theo'nun yaklaşan Güney Afrika iş gezisi için harcamak istediği 6000 doları var. Her biri 100 dolardan 6 iş takımı, her biri 50 dolardan 3 bavul alıyor, bir iş takımının maliyetinin 5 katından 700 dolar daha pahalı bir uçak bileti alıyor. Bu gezisi için 2000 dolar biriktirmek istiyor, Güney Afrika'daki iş ortaklarına hediye almak için ne kadar harcaması gerekiyor?","Theo 6 iş takımı için 6 takım * 100 dolar/takım = 600 dolar harcıyor.
Theo 3 bavul için 3 bavul * 50 dolar/bavul = 150 dolar harcıyor.
Theo, bir iş takımının maliyetinin 5 katı artı 700 dolar olan bir uçak bileti için 700 dolar + 5 * 100 dolar = 1200 dolar harcıyor.
Theo, Güney Afrika'daki iş ortaklarına hediye almak için 6000 dolar - 600 dolar - 150 dolar - 1200 dolar - 2000 dolar = 2050 dolar harcayabilir.
#### 2050","Theo 6 iş takımı için 6 takım * 100 dolar/takım = 600 dolar harcıyor.
Theo 3 bavul için 3 bavul * 50 dolar/bavul = 150 dolar harcıyor.
Theo, bir iş takımının maliyetinin 5 katı artı 700 dolar olan bir uçak bileti için 700 dolar + 5 * 100 dolar = 1200 dolar harcıyor.
Theo, Güney Afrika'daki iş ortaklarına hediye almak için 6000 dolar - 600 dolar - 150 dolar - 1200 dolar - 2000 dolar = 2050 dolar harcayabilir.",2050,"{'answer': ""Theo 6 iş takımı için 6 takım * 100 dolar/takım = 600 dolar harcıyor.\nTheo 3 bavul için 3 bavul * 50 dolar/bavul = 150 dolar harcıyor.\nTheo, bir iş takımının maliyetinin 5 katı artı 700 dolar olan bir uçak bileti için 700 dolar + 5 * 100 dolar = 1200 dolar harcıyor.\nTheo, Güney Afrika'daki iş ortaklarına hediye almak için 6000 dolar - 600 dolar - 150 dolar - 1200 dolar - 2000 dolar = 2050 dolar harcayabilir."", 'short_answer': '2050'}"
"Craig ve kardeşi bildikleri en uzun harfli kelimeleri sırayla heceliyor ve bu kelimelerdeki harf sayısını sayıyorlar. On tur sonunda, Craig her biri 15 harfli 20 kelime heceler. Eğer Craig'in kardeşi, Craig'den toplamda 50 harf fazla hecelenmiş kelimeler hecelerse, on tur sonunda heceledikleri kelimelerdeki toplam harf sayısını hesaplayın.","On tur sonunda, Craig bildiği en uzun harfli kelimelerden her biri 15 harfli olan 20 kelime heceler. Bu durumda Craig toplamda 20*15 = 300 harf hecelemiş olur.

Craig'in kardeşi ise Craig'den toplamda 50 harf fazla hecelemiştir. Bu durumda kardeşi 300+50 = 350 harf hecelemiş olur.

İki kardeşin heceledikleri kelimelerdeki toplam harf sayısı ise 350+300 = 650 harf olur.

#### 650","On tur sonunda, Craig bildiği en uzun harfli kelimelerden her biri 15 harfli olan 20 kelime heceler. Bu durumda Craig toplamda 20*15 = 300 harf hecelemiş olur.

Craig'in kardeşi ise Craig'den toplamda 50 harf fazla hecelemiştir. Bu durumda kardeşi 300+50 = 350 harf hecelemiş olur.

İki kardeşin heceledikleri kelimelerdeki toplam harf sayısı ise 350+300 = 650 harf olur.",650,"{'answer': ""On tur sonunda, Craig bildiği en uzun harfli kelimelerden her biri 15 harfli olan 20 kelime heceler. Bu durumda Craig toplamda 20*15 = 300 harf hecelemiş olur.\n\nCraig'in kardeşi ise Craig'den toplamda 50 harf fazla hecelemiştir. Bu durumda kardeşi 300+50 = 350 harf hecelemiş olur.\n\nİki kardeşin heceledikleri kelimelerdeki toplam harf sayısı ise 350+300 = 650 harf olur."", 'short_answer': '650'}"
"Matteo saatte 55 mil hızla 4 saat seyahat etti. Shandy saatte 45 mil hızla 10 saat seyahat etti. Shandy, Matteo'dan kaç mil daha fazla yol kat etti?","Matteo saatte 55 mil hızla 4 saat boyunca seyahat ettiğinde toplamda 55 * 4 = 220 mil yol almış olur. Shandy ise saatte 45 mil hızla 10 saat boyunca seyahat ettiğinde toplamda 45 * 10 = 450 mil yol almış olur. Shandy'nin Matteo'dan daha fazla kat ettiği yol miktarını bulmak için Shandy'nin yolunu Matteo'nun yolundan çıkartmamız gerekiyor: 450 - 220 = 230 mil. Dolayısıyla Shandy, Matteo'dan 230 mil daha fazla yol kat etmiştir.
#### 230","Matteo saatte 55 mil hızla 4 saat boyunca seyahat ettiğinde toplamda 55 * 4 = 220 mil yol almış olur. Shandy ise saatte 45 mil hızla 10 saat boyunca seyahat ettiğinde toplamda 45 * 10 = 450 mil yol almış olur. Shandy'nin Matteo'dan daha fazla kat ettiği yol miktarını bulmak için Shandy'nin yolunu Matteo'nun yolundan çıkartmamız gerekiyor: 450 - 220 = 230 mil. Dolayısıyla Shandy, Matteo'dan 230 mil daha fazla yol kat etmiştir.",230,"{'answer': ""Matteo saatte 55 mil hızla 4 saat boyunca seyahat ettiğinde toplamda 55 * 4 = 220 mil yol almış olur. Shandy ise saatte 45 mil hızla 10 saat boyunca seyahat ettiğinde toplamda 45 * 10 = 450 mil yol almış olur. Shandy'nin Matteo'dan daha fazla kat ettiği yol miktarını bulmak için Shandy'nin yolunu Matteo'nun yolundan çıkartmamız gerekiyor: 450 - 220 = 230 mil. Dolayısıyla Shandy, Matteo'dan 230 mil daha fazla yol kat etmiştir."", 'short_answer': '230'}"
"Jennie annesinin ofisinde yardım ediyor. Damgalanması gereken 60 mektupluk bir yığını ve zaten damgalanmış mektupların bir yığını var. Damgalanması gereken mektupların üçte birine pul yapıştırıyor. Şimdi damgalanmış mektup yığınında 30 mektup varsa, Jennie başladığında bu yığında kaç mektup vardı?","Jennie 60 mektubun üçte birine, yani 60/3=20 mektuba pul yapıştırıyor. Eğer şu anda damgalanmış mektup yığınında 30 mektup varsa ve Jennie 20 tanesini yeni damgaladıysa, başlangıçta damgalanmış mektup yığınında 30-20=10 mektup vardı. 

#### 10","Jennie 60 mektubun üçte birine, yani 60/3=20 mektuba pul yapıştırıyor. Eğer şu anda damgalanmış mektup yığınında 30 mektup varsa ve Jennie 20 tanesini yeni damgaladıysa, başlangıçta damgalanmış mektup yığınında 30-20=10 mektup vardı.",10,"{'answer': 'Jennie 60 mektubun üçte birine, yani 60/3=20 mektuba pul yapıştırıyor. Eğer şu anda damgalanmış mektup yığınında 30 mektup varsa ve Jennie 20 tanesini yeni damgaladıysa, başlangıçta damgalanmış mektup yığınında 30-20=10 mektup vardı.', 'short_answer': '10'}"
"Jennie annesinin ofisinde yardım ediyor. Damgalanması gereken 60 mektupluk bir yığını ve zaten damgalanmış mektupların bir yığını var. Damgalanması gereken mektupların üçte birine pul yapıştırıyor. Şimdi damgalanmış mektup yığınında 30 mektup varsa, Jennie başladığında bu yığında kaç mektup vardı?","Jennie 60 mektubun üçte birine, yani 60/3=20 mektuba pul yapıştırıyor. Eğer şu anda damgalanmış mektup yığınında 30 mektup varsa ve Jennie 20 tanesini yeni damgaladıysa, başlangıçta damgalanmış mektup yığınında 30-20=10 mektup vardı. 

#### 10","Jennie 60 mektubun üçte birine, yani 60/3=20 mektuba pul yapıştırıyor. Eğer şu anda damgalanmış mektup yığınında 30 mektup varsa ve Jennie 20 tanesini yeni damgaladıysa, başlangıçta damgalanmış mektup yığınında 30-20=10 mektup vardı.",10,"{'answer': 'Jennie 60 mektubun üçte birine, yani 60/3=20 mektuba pul yapıştırıyor. Eğer şu anda damgalanmış mektup yığınında 30 mektup varsa ve Jennie 20 tanesini yeni damgaladıysa, başlangıçta damgalanmış mektup yığınında 30-20=10 mektup vardı.', 'short_answer': '10'}"
