question,raw_answer,answer,short_answer,formated_answer
"Dr. Wertz'in okulunda kız öğrencilerin sayısının iki katı kadar erkek öğrenci vardır. Eğer 60 kız öğrenci varsa ve her öğretmene düşen öğrenci sayısı 5 ise, okulda kaç öğretmen vardır?","Dr. Wertz'in okulunda kız öğrencilerin sayısı 60 olduğuna göre, erkek öğrenci sayısı bu sayının iki katıdır, yani 2*60 = 120 erkek öğrenci vardır. Toplam öğrenci sayısı kız ve erkek öğrencilerin toplamıdır, bu da 120 + 60 = 180 öğrenci demektir. Her öğretmene düşen öğrenci sayısı 5 olduğuna göre, 180 öğrenci için 180/5 = 36 öğretmene ihtiyaç vardır. Dolayısıyla okulda 36 öğretmen bulunmaktadır. #### 36","Dr. Wertz'in okulunda kız öğrencilerin sayısı 60 olduğuna göre, erkek öğrenci sayısı bu sayının iki katıdır, yani 2*60 = 120 erkek öğrenci vardır. Toplam öğrenci sayısı kız ve erkek öğrencilerin toplamıdır, bu da 120 + 60 = 180 öğrenci demektir. Her öğretmene düşen öğrenci sayısı 5 olduğuna göre, 180 öğrenci için 180/5 = 36 öğretmene ihtiyaç vardır. Dolayısıyla okulda 36 öğretmen bulunmaktadır.",36,"{'answer': ""Dr. Wertz'in okulunda kız öğrencilerin sayısı 60 olduğuna göre, erkek öğrenci sayısı bu sayının iki katıdır, yani 2*60 = 120 erkek öğrenci vardır. Toplam öğrenci sayısı kız ve erkek öğrencilerin toplamıdır, bu da 120 + 60 = 180 öğrenci demektir. Her öğretmene düşen öğrenci sayısı 5 olduğuna göre, 180 öğrenci için 180/5 = 36 öğretmene ihtiyaç vardır. Dolayısıyla okulda 36 öğretmen bulunmaktadır."", 'short_answer': '36'}"
Anthony'nin 50 kalemi vardı. Kalemlerinin yarısını Brandon'a verdi ve kalan kalemlerin 3/5'ini Charlie'ye verdi. Geri kalan kalemleri kendisi tuttu. Anthony kaç kalem tuttu?,"Anthony başlangıçta 50 kaleme sahipti. Kalemlerinin yarısını, yani 50'nin yarısı olan 25'ini Brandon'a verdi. Geriye 50 - 25 = 25 kalem kaldı. Kalan kalemlerin 3/5'ini Charlie'ye verdiğinde, bu 25'in 3/5'i olan 15 kalem yapıyor. Anthony toplamda 25 + 15 = 40 kalem vermiş oldu. Dolayısıyla Anthony'nin kendisinde kalan kalem sayısı 50 - 40 = 10'dur. 
#### 10","Anthony başlangıçta 50 kaleme sahipti. Kalemlerinin yarısını, yani 50'nin yarısı olan 25'ini Brandon'a verdi. Geriye 50 - 25 = 25 kalem kaldı. Kalan kalemlerin 3/5'ini Charlie'ye verdiğinde, bu 25'in 3/5'i olan 15 kalem yapıyor. Anthony toplamda 25 + 15 = 40 kalem vermiş oldu. Dolayısıyla Anthony'nin kendisinde kalan kalem sayısı 50 - 40 = 10'dur.",10,"{'answer': ""Anthony başlangıçta 50 kaleme sahipti. Kalemlerinin yarısını, yani 50'nin yarısı olan 25'ini Brandon'a verdi. Geriye 50 - 25 = 25 kalem kaldı. Kalan kalemlerin 3/5'ini Charlie'ye verdiğinde, bu 25'in 3/5'i olan 15 kalem yapıyor. Anthony toplamda 25 + 15 = 40 kalem vermiş oldu. Dolayısıyla Anthony'nin kendisinde kalan kalem sayısı 50 - 40 = 10'dur."", 'short_answer': '10'}"
"Jennie annesinin ofisinde yardım ediyor. Damgalanması gereken 60 mektupluk bir yığını ve zaten damgalanmış mektupların bir yığını var. Damgalanması gereken mektupların üçte birine pul yapıştırıyor. Şimdi damgalanmış mektup yığınında 30 mektup varsa, Jennie başladığında bu yığında kaç mektup vardı?","Jennie 60 mektubun üçte birine, yani 60/3=20 mektuba pul yapıştırıyor. Eğer şu anda damgalanmış mektup yığınında 30 mektup varsa ve Jennie 20 tanesini yeni damgaladıysa, başlangıçta damgalanmış mektup yığınında 30-20=10 mektup vardı. 

#### 10","Jennie 60 mektubun üçte birine, yani 60/3=20 mektuba pul yapıştırıyor. Eğer şu anda damgalanmış mektup yığınında 30 mektup varsa ve Jennie 20 tanesini yeni damgaladıysa, başlangıçta damgalanmış mektup yığınında 30-20=10 mektup vardı.",10,"{'answer': 'Jennie 60 mektubun üçte birine, yani 60/3=20 mektuba pul yapıştırıyor. Eğer şu anda damgalanmış mektup yığınında 30 mektup varsa ve Jennie 20 tanesini yeni damgaladıysa, başlangıçta damgalanmış mektup yığınında 30-20=10 mektup vardı.', 'short_answer': '10'}"
"Ronnie'ye 5 dolar verilirken Rissa'ya üç katı kadar verildi. Her biri küçük kız kardeşlerine eşit miktarda para verdikten sonra, Rissa'nın parasının 4/5'i kalmıştır. Ronnie'nin parasında ne kadar kalmıştır?","Rissa'ya 5 doların 3 katı kadar, yani $5 x 3 = $15 verildi. Rissa küçük kız kardeşine bir miktar para verdikten sonra, parasının 4/5'i, yani $15 x 4/5 = $12'si kalmıştır. Bu, Rissa'nın kız kardeşine $15 - $12 = $3 verdiği anlamına gelir. Ronnie de Rissa ile aynı miktarda, yani $3 verdiğinden, Ronnie'nin elinde $5 - $3 = $2 kalmıştır.
#### 2","Rissa'ya 5 doların 3 katı kadar, yani $5 x 3 = $15 verildi. Rissa küçük kız kardeşine bir miktar para verdikten sonra, parasının 4/5'i, yani $15 x 4/5 = $12'si kalmıştır. Bu, Rissa'nın kız kardeşine $15 - $12 = $3 verdiği anlamına gelir. Ronnie de Rissa ile aynı miktarda, yani $3 verdiğinden, Ronnie'nin elinde $5 - $3 = $2 kalmıştır.",2,"{'answer': ""Rissa'ya 5 doların 3 katı kadar, yani $5 x 3 = $15 verildi. Rissa küçük kız kardeşine bir miktar para verdikten sonra, parasının 4/5'i, yani $15 x 4/5 = $12'si kalmıştır. Bu, Rissa'nın kız kardeşine $15 - $12 = $3 verdiği anlamına gelir. Ronnie de Rissa ile aynı miktarda, yani $3 verdiğinden, Ronnie'nin elinde $5 - $3 = $2 kalmıştır."", 'short_answer': '2'}"
"Dr. Wertz'in okulunda kız öğrencilerin sayısının iki katı kadar erkek öğrenci vardır. Eğer 60 kız öğrenci varsa ve her öğretmene düşen öğrenci sayısı 5 ise, okulda kaç öğretmen vardır?","Dr. Wertz'in okulunda kız öğrencilerin sayısı 60 olduğuna göre, erkek öğrenci sayısı bu sayının iki katıdır, yani 2*60 = 120 erkek öğrenci vardır. Toplam öğrenci sayısı kız ve erkek öğrencilerin toplamıdır, bu da 120 + 60 = 180 öğrenci demektir. Her öğretmene düşen öğrenci sayısı 5 olduğuna göre, 180 öğrenci için 180/5 = 36 öğretmene ihtiyaç vardır. Dolayısıyla okulda 36 öğretmen bulunmaktadır. #### 36","Dr. Wertz'in okulunda kız öğrencilerin sayısı 60 olduğuna göre, erkek öğrenci sayısı bu sayının iki katıdır, yani 2*60 = 120 erkek öğrenci vardır. Toplam öğrenci sayısı kız ve erkek öğrencilerin toplamıdır, bu da 120 + 60 = 180 öğrenci demektir. Her öğretmene düşen öğrenci sayısı 5 olduğuna göre, 180 öğrenci için 180/5 = 36 öğretmene ihtiyaç vardır. Dolayısıyla okulda 36 öğretmen bulunmaktadır.",36,"{'answer': ""Dr. Wertz'in okulunda kız öğrencilerin sayısı 60 olduğuna göre, erkek öğrenci sayısı bu sayının iki katıdır, yani 2*60 = 120 erkek öğrenci vardır. Toplam öğrenci sayısı kız ve erkek öğrencilerin toplamıdır, bu da 120 + 60 = 180 öğrenci demektir. Her öğretmene düşen öğrenci sayısı 5 olduğuna göre, 180 öğrenci için 180/5 = 36 öğretmene ihtiyaç vardır. Dolayısıyla okulda 36 öğretmen bulunmaktadır."", 'short_answer': '36'}"
"Jennie annesinin ofisinde yardım ediyor. Damgalanması gereken 60 mektupluk bir yığını ve zaten damgalanmış mektupların bir yığını var. Damgalanması gereken mektupların üçte birine pul yapıştırıyor. Şimdi damgalanmış mektup yığınında 30 mektup varsa, Jennie başladığında bu yığında kaç mektup vardı?","Jennie 60 mektubun üçte birine, yani 60/3=20 mektuba pul yapıştırıyor. Eğer şu anda damgalanmış mektup yığınında 30 mektup varsa ve Jennie 20 tanesini yeni damgaladıysa, başlangıçta damgalanmış mektup yığınında 30-20=10 mektup vardı. 

#### 10","Jennie 60 mektubun üçte birine, yani 60/3=20 mektuba pul yapıştırıyor. Eğer şu anda damgalanmış mektup yığınında 30 mektup varsa ve Jennie 20 tanesini yeni damgaladıysa, başlangıçta damgalanmış mektup yığınında 30-20=10 mektup vardı.",10,"{'answer': 'Jennie 60 mektubun üçte birine, yani 60/3=20 mektuba pul yapıştırıyor. Eğer şu anda damgalanmış mektup yığınında 30 mektup varsa ve Jennie 20 tanesini yeni damgaladıysa, başlangıçta damgalanmış mektup yığınında 30-20=10 mektup vardı.', 'short_answer': '10'}"
"Ronnie'ye 5 dolar verilirken Rissa'ya üç katı kadar verildi. Her biri küçük kız kardeşlerine eşit miktarda para verdikten sonra, Rissa'nın parasının 4/5'i kalmıştır. Ronnie'nin parasında ne kadar kalmıştır?","Rissa'ya 5 doların 3 katı kadar, yani $5 x 3 = $15 verildi. Rissa küçük kız kardeşine bir miktar para verdikten sonra, parasının 4/5'i, yani $15 x 4/5 = $12'si kalmıştır. Bu, Rissa'nın kız kardeşine $15 - $12 = $3 verdiği anlamına gelir. Ronnie de Rissa ile aynı miktarda, yani $3 verdiğinden, Ronnie'nin elinde $5 - $3 = $2 kalmıştır.
#### 2","Rissa'ya 5 doların 3 katı kadar, yani $5 x 3 = $15 verildi. Rissa küçük kız kardeşine bir miktar para verdikten sonra, parasının 4/5'i, yani $15 x 4/5 = $12'si kalmıştır. Bu, Rissa'nın kız kardeşine $15 - $12 = $3 verdiği anlamına gelir. Ronnie de Rissa ile aynı miktarda, yani $3 verdiğinden, Ronnie'nin elinde $5 - $3 = $2 kalmıştır.",2,"{'answer': ""Rissa'ya 5 doların 3 katı kadar, yani $5 x 3 = $15 verildi. Rissa küçük kız kardeşine bir miktar para verdikten sonra, parasının 4/5'i, yani $15 x 4/5 = $12'si kalmıştır. Bu, Rissa'nın kız kardeşine $15 - $12 = $3 verdiği anlamına gelir. Ronnie de Rissa ile aynı miktarda, yani $3 verdiğinden, Ronnie'nin elinde $5 - $3 = $2 kalmıştır."", 'short_answer': '2'}"
"Matteo saatte 55 mil hızla 4 saat seyahat etti. Shandy saatte 45 mil hızla 10 saat seyahat etti. Shandy, Matteo'dan kaç mil daha fazla yol kat etti?","Matteo saatte 55 mil hızla 4 saat boyunca seyahat ettiğinde toplamda 55 * 4 = 220 mil yol almış olur. Shandy ise saatte 45 mil hızla 10 saat boyunca seyahat ettiğinde toplamda 45 * 10 = 450 mil yol almış olur. Shandy'nin Matteo'dan daha fazla kat ettiği yol miktarını bulmak için Shandy'nin yolunu Matteo'nun yolundan çıkartmamız gerekiyor: 450 - 220 = 230 mil. Dolayısıyla Shandy, Matteo'dan 230 mil daha fazla yol kat etmiştir.
#### 230","Matteo saatte 55 mil hızla 4 saat boyunca seyahat ettiğinde toplamda 55 * 4 = 220 mil yol almış olur. Shandy ise saatte 45 mil hızla 10 saat boyunca seyahat ettiğinde toplamda 45 * 10 = 450 mil yol almış olur. Shandy'nin Matteo'dan daha fazla kat ettiği yol miktarını bulmak için Shandy'nin yolunu Matteo'nun yolundan çıkartmamız gerekiyor: 450 - 220 = 230 mil. Dolayısıyla Shandy, Matteo'dan 230 mil daha fazla yol kat etmiştir.",230,"{'answer': ""Matteo saatte 55 mil hızla 4 saat boyunca seyahat ettiğinde toplamda 55 * 4 = 220 mil yol almış olur. Shandy ise saatte 45 mil hızla 10 saat boyunca seyahat ettiğinde toplamda 45 * 10 = 450 mil yol almış olur. Shandy'nin Matteo'dan daha fazla kat ettiği yol miktarını bulmak için Shandy'nin yolunu Matteo'nun yolundan çıkartmamız gerekiyor: 450 - 220 = 230 mil. Dolayısıyla Shandy, Matteo'dan 230 mil daha fazla yol kat etmiştir."", 'short_answer': '230'}"
"Dr. Wertz'in okulunda kız öğrencilerin sayısının iki katı kadar erkek öğrenci vardır. Eğer 60 kız öğrenci varsa ve her öğretmene düşen öğrenci sayısı 5 ise, okulda kaç öğretmen vardır?","Dr. Wertz'in okulunda kız öğrencilerin sayısı 60 olduğuna göre, erkek öğrenci sayısı bu sayının iki katıdır, yani 2*60 = 120 erkek öğrenci vardır. Toplam öğrenci sayısı kız ve erkek öğrencilerin toplamıdır, bu da 120 + 60 = 180 öğrenci demektir. Her öğretmene düşen öğrenci sayısı 5 olduğuna göre, 180 öğrenci için 180/5 = 36 öğretmene ihtiyaç vardır. Dolayısıyla okulda 36 öğretmen bulunmaktadır. #### 36","Dr. Wertz'in okulunda kız öğrencilerin sayısı 60 olduğuna göre, erkek öğrenci sayısı bu sayının iki katıdır, yani 2*60 = 120 erkek öğrenci vardır. Toplam öğrenci sayısı kız ve erkek öğrencilerin toplamıdır, bu da 120 + 60 = 180 öğrenci demektir. Her öğretmene düşen öğrenci sayısı 5 olduğuna göre, 180 öğrenci için 180/5 = 36 öğretmene ihtiyaç vardır. Dolayısıyla okulda 36 öğretmen bulunmaktadır.",36,"{'answer': ""Dr. Wertz'in okulunda kız öğrencilerin sayısı 60 olduğuna göre, erkek öğrenci sayısı bu sayının iki katıdır, yani 2*60 = 120 erkek öğrenci vardır. Toplam öğrenci sayısı kız ve erkek öğrencilerin toplamıdır, bu da 120 + 60 = 180 öğrenci demektir. Her öğretmene düşen öğrenci sayısı 5 olduğuna göre, 180 öğrenci için 180/5 = 36 öğretmene ihtiyaç vardır. Dolayısıyla okulda 36 öğretmen bulunmaktadır."", 'short_answer': '36'}"
"Jennie annesinin ofisinde yardım ediyor. Damgalanması gereken 60 mektupluk bir yığını ve zaten damgalanmış mektupların bir yığını var. Damgalanması gereken mektupların üçte birine pul yapıştırıyor. Şimdi damgalanmış mektup yığınında 30 mektup varsa, Jennie başladığında bu yığında kaç mektup vardı?","Jennie 60 mektubun üçte birine, yani 60/3=20 mektuba pul yapıştırıyor. Eğer şu anda damgalanmış mektup yığınında 30 mektup varsa ve Jennie 20 tanesini yeni damgaladıysa, başlangıçta damgalanmış mektup yığınında 30-20=10 mektup vardı. 

#### 10","Jennie 60 mektubun üçte birine, yani 60/3=20 mektuba pul yapıştırıyor. Eğer şu anda damgalanmış mektup yığınında 30 mektup varsa ve Jennie 20 tanesini yeni damgaladıysa, başlangıçta damgalanmış mektup yığınında 30-20=10 mektup vardı.",10,"{'answer': 'Jennie 60 mektubun üçte birine, yani 60/3=20 mektuba pul yapıştırıyor. Eğer şu anda damgalanmış mektup yığınında 30 mektup varsa ve Jennie 20 tanesini yeni damgaladıysa, başlangıçta damgalanmış mektup yığınında 30-20=10 mektup vardı.', 'short_answer': '10'}"
