id,question,choices,answerKey,answer
Mercury_SC_400700,"Hangi gerçek neden Dünya'da hayat olduğunu ama Ay'da olmadığını en iyi açıklıyor?
Şıklar:
A. Ay'ın yerçekimi yoktur.
B. Ay Güneş'in etrafında dönmez.
C. Ay'da çok az su ve oksijen vardır.
D. Ay Dünya'dan çok daha küçüktür.","{'text': [""Ay'ın yerçekimi yoktur."", ""Ay Güneş'in etrafında dönmez."", ""Ay'da çok az su ve oksijen vardır."", ""Ay Dünya'dan çok daha küçüktür.""], 'label': ['A', 'B', 'C', 'D']}",C,Ay'da çok az su ve oksijen vardır.
Mercury_SC_416515,"Hangi su kütlesinde en az bitki ve hayvan yaşıyor?
Şıklar:
A. okyanus
B. aktarım
C. buzul
D. haliç","{'text': ['okyanus', 'aktarım', 'buzul', 'haliç'], 'label': ['A', 'B', 'C', 'D']}",C,buzul
NYSEDREGENTS_2007_8_23,"Doğrudan güneş ışığına maruz bırakıldığında hangi nesne en görünür ışık enerjisini emer?
Şıklar:
1. bir parça şeffaf cam
2. bir kartopu
3. parlak bir ayna
4. siyah bir kazak","{'text': ['bir parça şeffaf cam', 'bir kartopu', 'parlak bir ayna', 'siyah bir kazak'], 'label': ['1', '2', '3', '4']}",4,siyah bir kazak
Mercury_7215740,"Bilim insanları bir enfeksiyonun nedenini belirlemek için bir hayvanın hücrelerini analiz etti. Bilim adamları analizin sonuçları konusunda hemfikir değildi. Bu anlaşmazlık bilimin doğası hakkında neye işaret ediyor?
Şıklar:
A. Bilim insanları verileri farklı formatlarda sunabilirler.
B. Bilimsel sonuçlar farklı şekillerde yorumlanabilir.
C. Bilim adamları desteklenmeyen iddialarda bulunabilirler.
D. Bilimsel sonuçlar çoğu zaman beklenen sonuçlardan farklıdır.","{'text': ['Bilim insanları verileri farklı formatlarda sunabilirler.', 'Bilimsel sonuçlar farklı şekillerde yorumlanabilir.', 'Bilim adamları desteklenmeyen iddialarda bulunabilirler.', 'Bilimsel sonuçlar çoğu zaman beklenen sonuçlardan farklıdır.'], 'label': ['A', 'B', 'C', 'D']}",B,Bilimsel sonuçlar farklı şekillerde yorumlanabilir.
Mercury_SC_416515,"Hangi su kütlesinde en az bitki ve hayvan yaşıyor?
Şıklar:
A. okyanus
B. aktarım
C. buzul
D. haliç","{'text': ['okyanus', 'aktarım', 'buzul', 'haliç'], 'label': ['A', 'B', 'C', 'D']}",C,buzul
ACTAAP_2008_7_3,"Bilimsel bir araştırmayla hangi soru büyük olasılıkla belirlenebilir?
Şıklar:
A. Bir sonraki lotoyu kim kazanacak?
B. Bir sonraki maçı hangi futbol takımı kazanacak?
C. Domates yetiştirmek için gereken ışık miktarı nedir?
D. Hangi dört kuş tüyü türü en güzel renklere sahiptir?","{'text': ['Bir sonraki lotoyu kim kazanacak?', 'Bir sonraki maçı hangi futbol takımı kazanacak?', 'Domates yetiştirmek için gereken ışık miktarı nedir?', 'Hangi dört kuş tüyü türü en güzel renklere sahiptir?'], 'label': ['A', 'B', 'C', 'D']}",C,Domates yetiştirmek için gereken ışık miktarı nedir?
Mercury_SC_400700,"Hangi gerçek neden Dünya'da hayat olduğunu ama Ay'da olmadığını en iyi açıklıyor?
Şıklar:
A. Ay'ın yerçekimi yoktur.
B. Ay Güneş'in etrafında dönmez.
C. Ay'da çok az su ve oksijen vardır.
D. Ay Dünya'dan çok daha küçüktür.","{'text': [""Ay'ın yerçekimi yoktur."", ""Ay Güneş'in etrafında dönmez."", ""Ay'da çok az su ve oksijen vardır."", ""Ay Dünya'dan çok daha küçüktür.""], 'label': ['A', 'B', 'C', 'D']}",C,Ay'da çok az su ve oksijen vardır.
Mercury_7215740,"Bilim insanları bir enfeksiyonun nedenini belirlemek için bir hayvanın hücrelerini analiz etti. Bilim adamları analizin sonuçları konusunda hemfikir değildi. Bu anlaşmazlık bilimin doğası hakkında neye işaret ediyor?
Şıklar:
A. Bilim insanları verileri farklı formatlarda sunabilirler.
B. Bilimsel sonuçlar farklı şekillerde yorumlanabilir.
C. Bilim adamları desteklenmeyen iddialarda bulunabilirler.
D. Bilimsel sonuçlar çoğu zaman beklenen sonuçlardan farklıdır.","{'text': ['Bilim insanları verileri farklı formatlarda sunabilirler.', 'Bilimsel sonuçlar farklı şekillerde yorumlanabilir.', 'Bilim adamları desteklenmeyen iddialarda bulunabilirler.', 'Bilimsel sonuçlar çoğu zaman beklenen sonuçlardan farklıdır.'], 'label': ['A', 'B', 'C', 'D']}",B,Bilimsel sonuçlar farklı şekillerde yorumlanabilir.
NYSEDREGENTS_2007_8_23,"Doğrudan güneş ışığına maruz bırakıldığında hangi nesne en görünür ışık enerjisini emer?
Şıklar:
1. bir parça şeffaf cam
2. bir kartopu
3. parlak bir ayna
4. siyah bir kazak","{'text': ['bir parça şeffaf cam', 'bir kartopu', 'parlak bir ayna', 'siyah bir kazak'], 'label': ['1', '2', '3', '4']}",4,siyah bir kazak
Mercury_SC_416515,"Hangi su kütlesinde en az bitki ve hayvan yaşıyor?
Şıklar:
A. okyanus
B. aktarım
C. buzul
D. haliç","{'text': ['okyanus', 'aktarım', 'buzul', 'haliç'], 'label': ['A', 'B', 'C', 'D']}",C,buzul
