id,question,choices,answerKey,answer
Mercury_7215740,"Bilim insanları bir enfeksiyonun nedenini belirlemek için bir hayvanın hücrelerini analiz etti. Bilim adamları analizin sonuçları konusunda hemfikir değildi. Bu anlaşmazlık bilimin doğası hakkında neye işaret ediyor?
Şıklar:
A. Bilim insanları verileri farklı formatlarda sunabilirler.
B. Bilimsel sonuçlar farklı şekillerde yorumlanabilir.
C. Bilim adamları desteklenmeyen iddialarda bulunabilirler.
D. Bilimsel sonuçlar çoğu zaman beklenen sonuçlardan farklıdır.","{'text': ['Bilim insanları verileri farklı formatlarda sunabilirler.', 'Bilimsel sonuçlar farklı şekillerde yorumlanabilir.', 'Bilim adamları desteklenmeyen iddialarda bulunabilirler.', 'Bilimsel sonuçlar çoğu zaman beklenen sonuçlardan farklıdır.'], 'label': ['A', 'B', 'C', 'D']}",B,Bilimsel sonuçlar farklı şekillerde yorumlanabilir.
Mercury_183978,"Bunlardan hangisi yırtıcı hayvanlara karşı savunmaya yönelik bir adaptasyon örneğidir?
Şıklar:
A. zürafanın uzun boynu
B. yavru geyik lekeleri
C. su samuru yağlı kürkü
D. balığın solungaçları","{'text': ['zürafanın uzun boynu', 'yavru geyik lekeleri', 'su samuru yağlı kürkü', 'balığın solungaçları'], 'label': ['A', 'B', 'C', 'D']}",B,yavru geyik lekeleri
ACTAAP_2008_7_3,"Bilimsel bir araştırmayla hangi soru büyük olasılıkla belirlenebilir?
Şıklar:
A. Bir sonraki lotoyu kim kazanacak?
B. Bir sonraki maçı hangi futbol takımı kazanacak?
C. Domates yetiştirmek için gereken ışık miktarı nedir?
D. Hangi dört kuş tüyü türü en güzel renklere sahiptir?","{'text': ['Bir sonraki lotoyu kim kazanacak?', 'Bir sonraki maçı hangi futbol takımı kazanacak?', 'Domates yetiştirmek için gereken ışık miktarı nedir?', 'Hangi dört kuş tüyü türü en güzel renklere sahiptir?'], 'label': ['A', 'B', 'C', 'D']}",C,Domates yetiştirmek için gereken ışık miktarı nedir?
Mercury_7115273,"Bir gölün yüzeyindeki büyük alg çoğalmaları hangi abiyotik faktörün dibe ulaşmasını engeller?
Şıklar:
A. su
B. tuz
C. ışık
D. oksijen","{'text': ['su', 'tuz', 'ışık', 'oksijen'], 'label': ['A', 'B', 'C', 'D']}",C,ışık
Mercury_7215740,"Bilim insanları bir enfeksiyonun nedenini belirlemek için bir hayvanın hücrelerini analiz etti. Bilim adamları analizin sonuçları konusunda hemfikir değildi. Bu anlaşmazlık bilimin doğası hakkında neye işaret ediyor?
Şıklar:
A. Bilim insanları verileri farklı formatlarda sunabilirler.
B. Bilimsel sonuçlar farklı şekillerde yorumlanabilir.
C. Bilim adamları desteklenmeyen iddialarda bulunabilirler.
D. Bilimsel sonuçlar çoğu zaman beklenen sonuçlardan farklıdır.","{'text': ['Bilim insanları verileri farklı formatlarda sunabilirler.', 'Bilimsel sonuçlar farklı şekillerde yorumlanabilir.', 'Bilim adamları desteklenmeyen iddialarda bulunabilirler.', 'Bilimsel sonuçlar çoğu zaman beklenen sonuçlardan farklıdır.'], 'label': ['A', 'B', 'C', 'D']}",B,Bilimsel sonuçlar farklı şekillerde yorumlanabilir.
ACTAAP_2008_7_3,"Bilimsel bir araştırmayla hangi soru büyük olasılıkla belirlenebilir?
Şıklar:
A. Bir sonraki lotoyu kim kazanacak?
B. Bir sonraki maçı hangi futbol takımı kazanacak?
C. Domates yetiştirmek için gereken ışık miktarı nedir?
D. Hangi dört kuş tüyü türü en güzel renklere sahiptir?","{'text': ['Bir sonraki lotoyu kim kazanacak?', 'Bir sonraki maçı hangi futbol takımı kazanacak?', 'Domates yetiştirmek için gereken ışık miktarı nedir?', 'Hangi dört kuş tüyü türü en güzel renklere sahiptir?'], 'label': ['A', 'B', 'C', 'D']}",C,Domates yetiştirmek için gereken ışık miktarı nedir?
Mercury_7115273,"Bir gölün yüzeyindeki büyük alg çoğalmaları hangi abiyotik faktörün dibe ulaşmasını engeller?
Şıklar:
A. su
B. tuz
C. ışık
D. oksijen","{'text': ['su', 'tuz', 'ışık', 'oksijen'], 'label': ['A', 'B', 'C', 'D']}",C,ışık
Mercury_SC_400700,"Hangi gerçek neden Dünya'da hayat olduğunu ama Ay'da olmadığını en iyi açıklıyor?
Şıklar:
A. Ay'ın yerçekimi yoktur.
B. Ay Güneş'in etrafında dönmez.
C. Ay'da çok az su ve oksijen vardır.
D. Ay Dünya'dan çok daha küçüktür.","{'text': [""Ay'ın yerçekimi yoktur."", ""Ay Güneş'in etrafında dönmez."", ""Ay'da çok az su ve oksijen vardır."", ""Ay Dünya'dan çok daha küçüktür.""], 'label': ['A', 'B', 'C', 'D']}",C,Ay'da çok az su ve oksijen vardır.
Mercury_7215740,"Bilim insanları bir enfeksiyonun nedenini belirlemek için bir hayvanın hücrelerini analiz etti. Bilim adamları analizin sonuçları konusunda hemfikir değildi. Bu anlaşmazlık bilimin doğası hakkında neye işaret ediyor?
Şıklar:
A. Bilim insanları verileri farklı formatlarda sunabilirler.
B. Bilimsel sonuçlar farklı şekillerde yorumlanabilir.
C. Bilim adamları desteklenmeyen iddialarda bulunabilirler.
D. Bilimsel sonuçlar çoğu zaman beklenen sonuçlardan farklıdır.","{'text': ['Bilim insanları verileri farklı formatlarda sunabilirler.', 'Bilimsel sonuçlar farklı şekillerde yorumlanabilir.', 'Bilim adamları desteklenmeyen iddialarda bulunabilirler.', 'Bilimsel sonuçlar çoğu zaman beklenen sonuçlardan farklıdır.'], 'label': ['A', 'B', 'C', 'D']}",B,Bilimsel sonuçlar farklı şekillerde yorumlanabilir.
ACTAAP_2008_7_3,"Bilimsel bir araştırmayla hangi soru büyük olasılıkla belirlenebilir?
Şıklar:
A. Bir sonraki lotoyu kim kazanacak?
B. Bir sonraki maçı hangi futbol takımı kazanacak?
C. Domates yetiştirmek için gereken ışık miktarı nedir?
D. Hangi dört kuş tüyü türü en güzel renklere sahiptir?","{'text': ['Bir sonraki lotoyu kim kazanacak?', 'Bir sonraki maçı hangi futbol takımı kazanacak?', 'Domates yetiştirmek için gereken ışık miktarı nedir?', 'Hangi dört kuş tüyü türü en güzel renklere sahiptir?'], 'label': ['A', 'B', 'C', 'D']}",C,Domates yetiştirmek için gereken ışık miktarı nedir?
